DISCIPLINAS;PROFESSOR;PERÍODO
ALGORITMOS E TÉCNICAS DE PROGRAMAÇÃO;MARTA DIAS MOREIRA NORONHA;1
DESENVOLVIMENTO DE INTERFACES WEB;;1
FILOSOFIA: RAZÃO E MODERNIDADE;RODRIGO DE ABREU OLIVEIRA;1
INTRODUÇÃO À COMPUTAÇÃO;CLAUDINEY VANDER RAMOS;1
TRABALHO INTERDISCIPLINAR: APLICAÇÕES WEB;JOÃO CARAM SANTOS DE OLIVEIRA;1
ALGORITMOS E ESTRUTURAS DE DADOS;JOÃO CARAM SANTOS DE OLIVEIRA;2
ARQUITETURA DE COMPUTADORES;CLAUDINEY VANDER RAMOS;2
CÁLCULO I;;2
FUNDAMENTOS DE SISTEMAS DE INFORMAÇÃO;PEDRO FELIPE ALVES DE OLIVEIRA;2
OPTATIVA I;;2
BANCOS DE DADOS;CLAUDINEY VANDER RAMOS;3
ESTATÍSTICA E PROBABILIDADE;;3
MODELAGEM DE PROCESSOS DE NEGÓCIOS;SIMONE DE ASSIS ALVES DA SILVA;3
PROGRAMAÇÃO ORIENTADA POR OBJETOS;JOÃO CARAM SANTOS DE OLIVEIRA;3
SISTEMAS OPERACIONAIS;MATHEUS ALCÂNTARA SOUZA;3
TRABALHO INTERDISCIPLINAR: APLICAÇÕES PARA PROCESSOS DE NEGÓCIOS;CLAUDINEY VANDER RAMOS;3
ALGORITMOS EM GRAFOS;MICHELLE NERY NASCIMENTO;4
ENGENHARIA DE REQUISITOS DE SOFTWARE;SANDRA MARIA SILVEIRA;4
INTERAÇÃO HUMANO-COMPUTADOR;SIMONE DE ASSIS ALVES DA SILVA;4
OPTATIVA II;;4
REDES DE COMPUTADORES I;FABIO LEANDRO RODRIGUES CORDEIRO;4
DESENVOLVIMENTO DE APLICAÇÕES DISTRIBUÍDAS;PEDRO ALVES DE OLIVEIRA;5
FUNDAMENTOS DE PROJETO E ANÁLISE DE ALGORITMOS;WALISSON FERREIRA DE CARVALHO;5
OPTATIVA III;;5
PROJETO DE SOFTWARE;CLAUDINEY VANDER RAMOS;5
REDES DE COMPUTADORES II;FABIO LEANDRO RODRIGUES CORDEIRO;5
TRABALHO INTERDISCIPLINAR: APLICAÇÕES PARA SUSTENTABILIDADE;SIMONE DE ASSIS ALVES DA SILVA;5
BUSINESS INTELLIGENCE;;6
CULTURA RELIGIOSA: FENÔMENO RELIGIOSO;;6
GERÊNCIA DE PROJETO DE SOFTWARE;;6
TECNOLOGIAS DA INFORMAÇÃO E DO CONHECIMENTO;;6
TESTE E MANUTENÇÃO DE SOFTWARE;;6
TÓPICOS EM SISTEMAS DE INFORMAÇÃO;;6
TRABALHO INTERDISCIPLINAR: PESQUISA EM INFORMÁTICA;;6
CIÊNCIA DE DADOS;;7
DESENVOLVIMENTO DE APLICAÇÕES MÓVEIS;;7
FILOSOFIA: ANTROPOLOGIA E ÉTICA;;7
PLANEJAMENTO DE CAPACIDADE E AVALIAÇÃO DE SISTEMAS COMPUTACIONAIS;;7
RECUPERAÇÃO DE INFORMAÇÃO NA WEB E REDES SOCIAIS;;7
TRABALHO INTERDISCIPLINAR: SISTEMAS INTEGRADOS DE GESTÃO EMPRESARIAL;;7
COMPUTADORES E SOCIEDADE;;8
CULTURA RELIGIOSA: PESSOA E SOCIEDADE;;8
GOVERNANÇA DE TECNOLOGIA DA INFORMAÇÃO;;8
OPTATIVA IV;;8
SEGURANÇA E AUDITORIA DE SISTEMAS;;8
TÓPICOS EM SISTEMAS DE SOFTWARE;;8
TRABALHO DE CONCLUSÃO DE CURSO;;8
